""
Date,Udemy,Coursera,Khan Academy,edX
2021-01,120,80,100,90
2021-02,125,85,105,95
2021-03,130,90,110,100
2021-04,140,95,115,105
2021-05,145,100,120,110
2021-06,150,105,125,115
2021-07,155,110,130,120
2021-08,160,120,135,130
2021-09,165,130,140,135
2021-10,170,135,145,140
2021-11,175,145,150,145
2021-12,180,150,155,150
2022-01,185,155,160,155
2022-02,190,160,165,160
2022-03,195,165,170,165
2022-04,200,170,175,170
2022-05,205,175,180,175
2022-06,210,180,185,180
2022-07,215,185,190,185
2022-08,220,190,195,190
2022-09,225,195,200,195
2022-10,230,200,205,200
2022-11,235,205,210,205
2022-12,240,210,215,210
""
