""
Date,Hydro,Solar,Wind,Nuclear,Coal
Jan-2021,400,320,180,600,550
Feb-2021,410,330,190,610,570
Mar-2021,420,340,300,620,590
Apr-2021,450,360,320,630,600
May-2021,480,370,350,640,610
Jun-2021,470,380,360,650,615
Jul-2021,460,390,370,660,620
Aug-2021,450,400,380,670,625
Sep-2021,440,410,390,680,630
Oct-2021,430,420,400,690,635
Nov-2021,420,430,410,700,640
Dec-2021,410,440,420,710,645
Jan-2022,405,450,430,720,650
Feb-2022,400,460,440,730,655
Mar-2022,395,470,450,740,660
Apr-2022,390,480,455,750,665
May-2022,385,490,460,760,670
Jun-2022,380,500,465,770,675
Jul-2022,375,510,470,780,680
Aug-2022,370,520,475,790,685
Sep-2022,365,530,480,800,690
Oct-2022,360,540,485,810,695
Nov-2022,355,550,490,820,700
Dec-2022,350,560,500,830,705
""
