""
Date, North America, Europe, Asia, South America, Africa
2023-01-01, 350, 340, 355, 315, 210
2023-01-02, 340, 320, 340, 320, 215
2023-01-03, 345, 330, 350, 330, 220
2023-01-04, 355, 335, 360, 340, 230
2023-01-05, 360, 340, 365, 350, 240
2023-01-06, 370, 345, 370, 360, 245
2023-01-07, 365, 350, 375, 365, 250
2023-01-08, 375, 360, 380, 370, 255
2023-01-09, 385, 370, 385, 380, 260
2023-01-10, 390, 380, 395, 390, 265
2023-01-11, 395, 390, 400, 395, 270
2023-01-12, 400, 395, 410, 400, 275
2023-01-13, 405, 405, 420, 410, 285
2023-01-14, 410, 410, 425, 415, 290
2023-01-15, 415, 420, 430, 420, 295
2023-01-16, 425, 425, 435, 425, 300
2023-01-17, 430, 430, 440, 430, 305
2023-01-18, 435, 435, 445, 435, 310
2023-01-19, 440, 445, 450, 440, 315
2023-01-20, 450, 450, 455, 445, 320
2023-01-21, 455, 455, 460, 450, 325
2023-01-22, 460, 460, 465, 455, 330
2023-01-23, 465, 465, 470, 460, 335
2023-01-24, 470, 470, 475, 465, 340
2023-01-25, 480, 475, 480, 470, 345
2023-01-26, 485, 480, 485, 475, 350
2023-01-27, 490, 485, 490, 480, 355
2023-01-28, 495, 490, 495, 485, 360
2023-01-29, 500, 495, 500, 490, 365
2023-01-30, 510, 500, 505, 495, 370
""
