""
Date,Sales,Expenses,Profit
2021-01-01,1200,300,150
2021-01-02,1400,300,175
2021-01-03,1500,400,200
2021-01-04,1600,400,225
2021-01-05,1700,500,250
2021-01-06,1800,500,275
2021-01-07,1900,600,300
2021-01-08,2000,600,325
2021-01-09,2100,700,350
2021-01-10,2200,700,375
2021-01-11,2300,800,400
2021-01-12,2400,800,425
2021-01-13,2500,900,450
2021-01-14,2600,900,475
2021-01-15,2700,1000,500
2021-01-16,2800,1000,525
2021-01-17,2900,1100,550
2021-01-18,3000,1100,575
2021-01-19,3100,1200,600
2021-01-20,3200,1200,625
2021-01-21,3300,1300,650
2021-01-22,3400,1300,675
2021-01-23,3500,1400,700
2021-01-24,3600,1400,725
2021-01-25,3700,1500,750
2021-01-26,3800,1500,775
2021-01-27,3900,1600,800
2021-01-28,4000,1600,825
2021-01-29,4100,1700,850
2021-01-30,4200,1700,875
2021-01-31,4300,1800,900
""
