""
Date,Organic Traffic,Email Marketing,Social Media,Direct Traffic,Referral Traffic
2021-01-01,100,80,120,90,70
2021-01-02,104,82,125,95,72
2021-01-03,110,85,130,100,75
2021-01-04,105,90,135,105,80
2021-01-05,108,88,140,110,82
2021-01-06,115,92,150,115,85
2021-01-07,120,94,155,120,87
2021-01-08,125,96,160,130,90
2021-01-09,130,98,165,135,95
2021-01-10,135,100,170,140,100
2021-01-11,140,103,180,145,105
2021-01-12,150,105,185,150,110
2021-01-13,155,110,190,155,115
2021-01-14,160,115,195,160,120
2021-01-15,165,120,200,165,125
2021-01-16,170,125,210,170,130
2021-01-17,175,130,220,175,135
2021-01-18,180,135,225,180,140
2021-01-19,185,140,230,190,145
2021-01-20,190,145,240,195,150
""
