""
Date,Mobile Sales,Computer Sales,Accessories Sales
2021-01,12000,5400,2300
2021-02,13400,5860,2500
2021-03,13800,6200,2700
2021-04,14600,6500,2900
2021-05,15500,6700,3100
2021-06,16400,7100,3300
2021-07,17200,7400,3700
2021-08,18000,7550,3800
2021-09,18500,7600,3850
2021-10,18900,7700,3900
2021-11,19400,7800,4000
2021-12,19800,7900,4100
2022-01,20000,8000,4200
2022-02,20400,8150,4300
2022-03,21000,8300,4400
2022-04,21800,8450,4500
2022-05,22500,8600,4600
2022-06,23000,8700,4650
2022-07,23500,8800,4700
2022-08,24000,8900,4750
2022-09,24200,9000,4800
2022-10,24600,9100,4850
2022-11,25100,9200,4900
2022-12,25500,9300,4950
2023-01,26000,9400,5000
2023-02,26500,9500,5100
2023-03,27000,9600,5200
2023-04,27600,9700,5300
""
