""
Quarter,Virtual Reality,Artificial Intelligence,Wearable Tech,Biotech Innovations
Q1-2019,12000,25000,10000,15000
Q2-2019,15000,26500,11000,16000
Q3-2019,17000,27500,12000,16500
Q4-2019,20000,30000,14000,18000
Q1-2020,25000,32000,15500,19000
Q2-2020,27000,34000,16000,20000
Q3-2020,29000,35500,17000,22000
Q4-2020,31000,40000,20000,24000
Q1-2021,32000,43000,22000,26000
Q2-2021,33000,45000,23000,27000
Q3-2021,34000,47000,24000,28000
Q4-2021,36000,49000,25000,30000
Q1-2022,37000,51000,26000,32000
Q2-2022,38000,53000,26500,33000
Q3-2022,40000,55000,28000,35000
Q4-2022,42000,58000,30000,37000
""
