""
Date,Revenue,Expenses,Profit
2021-01-01,1200,400,800
2021-01-02,1500,600,900
2021-01-03,1600,800,800
2021-01-04,1800,700,1100
2021-01-05,2000,500,1500
2021-01-06,2400,1800,600
2021-01-07,2600,1900,700
2021-01-08,2700,2000,700
2021-01-09,2800,2100,700
2021-01-10,2900,2300,600
...
2021-12-21,3600,2600,1000
2021-12-22,3700,2700,1000
2021-12-23,3800,2800,1000
2021-12-24,3900,2500,1400
2021-12-25,4000,3000,1000
2021-12-26,4200,3500,700
2021-12-27,4300,3400,900
2021-12-28,4400,3200,1200
2021-12-29,4500,3300,1200
2021-12-30,4600,3400,1200
2021-12-31,4700,3000,1700
""
