""
Date,Automotive Sales,Technology Products,Clothing Sales
2021-01,320,332,301
2021-02,334,340,314
2021-03,350,355,328
2021-04,373,366,342
2021-05,387,378,353
2021-06,401,390,365
2021-07,413,401,372
2021-08,426,411,380
2021-09,439,420,390
2021-10,451,429,398
2021-11,463,439,406
2021-12,480,450,415
2022-01,494,460,425
2022-02,505,471,433
2022-03,517,480,442
2022-04,529,490,450
2022-05,542,499,460
2022-06,553,507,468
2022-07,563,515,475
2022-08,574,523,482
2022-09,584,530,490
2022-10,593,538,497
2022-11,602,545,503
2022-12,611,553,510
""
