""
Date,Science Education,Technology Adoption,Nature Conservation
2021-01,1200,1020,980
2021-02,1220,1130,1150
2021-03,1300,1210,1200
2021-04,1350,1300,1250
2021-05,1400,1450,1300
2021-06,1440,1500,1380
2021-07,1470,1550,1400
2021-08,1500,1620,1425
2021-09,1550,1700,1450
2021-10,1600,1750,1500
2021-11,1620,1800,1550
2021-12,1650,1850,1600
2022-01,1680,1900,1625
2022-02,1700,1970,1650
2022-03,1750,2000,1700
2022-04,1800,2050,1750
2022-05,1850,2100,1800
2022-06,1890,2150,1850
2022-07,1930,2200,1900
2022-08,1950,2250,1950
2022-09,2000,2300,2000
2022-10,2050,2350,2050
2022-11,2070,2400,2100
2022-12,2100,2450,2150
""
