""
date,Technology,Gaming,Health,Education
2020-01-01,120,80,50,70
2020-02-01,130,85,55,75
2020-03-01,135,78,60,80
2020-04-01,145,82,70,90
2020-05-01,155,95,65,85
2020-06-01,160,93,75,95
2020-07-01,165,88,80,100
2020-08-01,175,100,85,105
2020-09-01,180,105,90,110
2020-10-01,190,103,100,120
2020-11-01,195,110,105,125
2020-12-01,200,115,110,130
2021-01-01,210,120,115,135
2021-02-01,220,125,120,140
2021-03-01,225,130,125,145
2021-04-01,230,135,130,150
2021-05-01,235,140,135,155
2021-06-01,240,145,140,160
2021-07-01,245,150,145,165
2021-08-01,250,155,150,170
2021-09-01,255,160,155,175
2021-10-01,260,165,160,180
2021-11-01,265,170,165,185
2021-12-01,270,175,170,190
""
