""
Date, Social Networking, Productivity, Entertainment, Education
2021-01-01, 120, 80, 50, 70
2021-01-02, 130, 85, 55, 72
2021-01-03, 140, 90, 60, 75
2021-01-04, 135, 95, 65, 78
2021-01-05, 145, 100, 70, 80
2021-01-06, 150, 105, 75, 82
2021-01-07, 155, 110, 80, 85
2021-01-08, 160, 115, 85, 88
2021-01-09, 165, 120, 90, 90
2021-01-10, 170, 125, 92, 92
...
2021-02-25, 260, 180, 140, 120
2021-02-26, 265, 190, 145, 125
2021-02-27, 270, 200, 150, 130
2021-02-28, 275, 210, 155, 135
2021-03-01, 280, 220, 160, 140
2021-03-02, 290, 230, 165, 145
2021-03-03, 295, 240, 170, 150
2021-03-04, 300, 250, 175, 155
2021-03-05, 310, 260, 180, 160
2021-03-06, 320, 270, 185, 165
""
