""
Date,Economy,Tech,Healthcare,Entertainment
2021-01-01,12000,3000,2600,2200
2021-01-02,12350,3200,2700,2300
2021-01-03,12700,3400,2800,2400
2021-01-04,13020,3600,2950,2500
2021-01-05,13300,3800,3050,2600
2021-01-06,13500,4050,3150,2750
2021-01-07,13800,4250,3300,2850
2021-01-08,14000,4450,3400,2950
2021-01-09,14200,4650,3500,3050
2021-01-10,14450,4900,3600,3150
2021-01-11,14600,5100,3700,3250
2021-01-12,14950,5300,3800,3350
2021-01-13,15100,5500,3900,3450
2021-01-14,15400,5700,4050,3550
2021-01-15,15600,5900,4150,3650
2021-01-16,15900,6100,4250,3750
2021-01-17,16100,6300,4300,3850
2021-01-18,16350,6500,4400,3950
2021-01-19,16500,6700,4450,4050
2021-01-20,16800,6900,4550,4150
""
