""
Date,T-Shirts,Hoodies,Accessories
2021-01-01,120,90,130
2021-02-01,180,110,150
2021-03-01,140,95,170
2021-04-01,190,130,160
2021-05-01,200,165,180
2021-06-01,220,185,200
2021-07-01,170,140,210
2021-08-01,210,160,230
2021-09-01,190,170,250
2021-10-01,230,180,270
2021-11-01,240,190,280
2021-12-01,250,210,290
2022-01-01,260,215,300
2022-02-01,270,220,310
2022-03-01,280,230,320
2022-04-01,290,235,330
2022-05-01,300,240,340
2022-06-01,310,245,350
2022-07-01,320,250,360
2022-08-01,330,260,370
2022-09-01,340,270,380
2022-10-01,350,280,390
2022-11-01,360,290,400
2022-12-01,370,300,410
""
