""
date,aquatic mammals,small mammals,medium mammals,large mammals
2010-01,3,8,15,20
2010-02,4,12,20,25
2010-03,6,10,22,30
2010-04,10,15,25,35
2010-05,12,18,28,40
2010-06,14,20,32,45
2010-07,15,22,35,47
2010-08,16,25,38,50
2010-09,18,28,42,55
2010-10,20,30,45,60
2010-11,22,35,50,65
2010-12,25,38,55,70
2011-01,28,40,58,75
2011-02,30,42,60,80
2011-03,32,44,62,85
2011-04,33,45,64,90
2011-05,35,47,65,95
2011-06,37,48,67,100
2011-07,38,50,68,105
2011-08,40,55,70,110
2011-09,42,57,73,115
2011-10,43,58,75,120
2011-11,45,60,78,125
2011-12,47,62,80,130
""
