""
Date,Technology,Finance,Consumer Goods,Energy,Healthcare
2017-01-01,120,80,50,30,40
2017-01-02,122,82,53,35,42
2017-01-03,125,83,55,33,44
2017-01-04,130,85,57,36,47
2017-01-05,135,87,60,38,50
2017-01-06,140,89,63,40,52
2017-01-07,142,92,65,41,55
2017-01-08,144,93,66,42,57
2017-01-09,147,95,68,44,60
...
2017-12-23,220,180,150,120,140
2017-12-24,222,182,152,121,141
2017-12-25,225,185,155,123,142
2017-12-26,230,187,158,125,145
2017-12-27,235,190,160,127,147
2017-12-28,240,192,163,130,150
2017-12-29,242,195,165,132,152
2017-12-30,245,198,167,134,155
2017-12-31,250,200,170,135,157
""
