""
Date,Education,Entertainment,Healthcare,Technology
2021-01-01,1000,500,800,700
2021-01-02,1170,526,823,732
2021-01-03,1226,540,830,750
2021-01-04,1245,560,850,788
2021-01-05,1360,630,900,820
2021-01-06,1460,710,910,860
2021-01-07,1590,780,950,880
2021-01-08,1700,850,980,905
2021-01-09,1800,950,1020,950
2021-01-10,1850,1000,1050,965
2021-01-11,1930,1100,1100,980
2021-01-12,2000,1150,1120,1000
2021-01-13,2060,1180,1135,1020
2021-01-14,2130,1220,1150,1030
2021-01-15,2200,1250,1165,1050
2021-01-16,2260,1290,1170,1070
2021-01-17,2350,1400,1180,1100
2021-01-18,2400,1430,1190,1120
2021-01-19,2450,1460,1200,1150
2021-01-20,2500,1500,1215,1170
2021-01-21,2540,1520,1220,1190
2021-01-22,2600,1550,1230,1210
2021-01-23,2650,1570,1240,1225
2021-01-24,2700,1590,1250,1240
2021-01-25,2760,1600,1260,1250
2021-01-26,2800,1620,1270,1260
2021-01-27,2850,1630,1280,1270
2021-01-28,2900,1650,1290,1280
2021-01-29,2950,1660,1300,1290
2021-01-30,3000,1680,1310,1300
2021-01-31,3050,1700,1320,1310
""
