 
date,Hydro,Solar,Wind,Geothermal
2020-01,376,126,187,56
2020-02,352,136,193,58
2020-03,360,152,203,62
2020-04,368,160,210,64
2020-05,372,172,220,68
2020-06,380,180,225,70
2020-07,390,196,233,74
2020-08,400,204,240,78
2020-09,408,212,250,80
2020-10,416,224,260,82
2020-11,424,234,270,86
2020-12,432,240,280,88
2021-01,440,250,290,92
2021-02,448,260,300,94
2021-03,456,270,310,98
2021-04,462,280,320,100
2021-05,470,290,330,104
2021-06,478,300,340,108
2021-07,486,310,350,110
2021-08,494,320,360,114
2021-09,500,330,370,118
2021-10,508,340,380,120
2021-11,516,350,390,124
2021-12,524,360,400,126
""
