""
Date,Stocks,Bonds,Real Estate,Commodities
2023-01-01,12000,5000,7200,3000
2023-01-02,11850,5200,7300,3200
2023-01-03,11900,5300,7450,3300
2023-01-04,12300,5400,7550,3400
2023-01-05,12200,5500,7600,3300
2023-01-06,12350,5600,7700,3500
2023-01-07,12700,5700,7800,3400
2023-01-08,12800,5800,7900,3600
2023-01-09,12950,5900,8000,3700
2023-01-10,13000,6000,8150,3800
2023-01-11,13100,6100,8300,3700
2023-01-12,12900,6200,8350,3800
2023-01-13,13200,6300,8450,3900
2023-01-14,13300,6400,8550,4000
2023-01-15,13150,6500,8600,4100
2023-01-16,13500,6600,8700,4200
2023-01-17,13600,6700,8750,4300
2023-01-18,13650,6800,8800,4400
2023-01-19,13700,6900,8900,4500
2023-01-20,13900,7000,9000,4600
2023-01-21,14100,7100,9100,4700
2023-01-22,14200,7200,9200,4800
2023-01-23,14300,7300,9300,4900
2023-01-24,14500,7400,9400,5000
2023-01-25,14600,7500,9500,5100
2023-01-26,14550,7600,9600,5200
2023-01-27,14650,7700,9650,5300
2023-01-28,14700,7800,9700,5400
2023-01-29,14800,7900,9750,5500
2023-01-30,15000,8000,9800,5600
""
