""
date,Startups,Investments,Acquisitions
2020-01,300,600,200
2020-02,310,630,210
2020-03,325,650,215
2020-04,335,670,230
2020-05,345,710,240
2020-06,360,730,250
2020-07,375,750,260
2020-08,385,770,270
2020-09,390,810,280
2020-10,400,830,285
2020-11,415,850,290
2020-12,420,870,295
2021-01,430,890,300
2021-02,440,910,305
2021-03,455,930,310
2021-04,460,950,320
2021-05,470,970,325
2021-06,480,990,330
2021-07,490,1010,340
2021-08,500,1030,350
2021-09,510,1040,360
2021-10,520,1060,370
2021-11,530,1080,380
2021-12,540,1100,390
""
