""
Quarter,Company A,Company B,Company C
Q1-2018,12000,15000,13000
Q2-2018,14000,15500,13500
Q3-2018,16000,14800,14000
Q4-2018,17000,16200,15000
Q1-2019,18000,16500,15500
Q2-2019,19000,15800,16000
Q3-2019,20000,16700,16500
Q4-2019,22000,17500,17000
Q1-2020,21000,18000,17500
Q2-2020,20000,17000,16800
Q3-2020,19000,16500,16500
Q4-2020,21000,17500,17000
Q1-2021,22000,18500,18000
Q2-2021,24000,19000,18500
Q3-2021,25000,19500,19000
Q4-2021,26000,20000,19500
Q1-2022,27000,21000,20500
Q2-2022,28000,22000,21500
Q3-2022,29000,23000,22500
Q4-2022,30000,24000,23500
""
