""
Date, Technology, Energy, Health
Q1 2010, 120, 80, 90
Q2 2010, 115, 90, 95
Q3 2010, 130, 85, 100
Q4 2010, 140, 80, 110
Q1 2011, 150, 75, 115
Q2 2011, 140, 85, 120
Q3 2011, 155, 80, 125
Q4 2011, 160, 82, 130
Q1 2012, 162, 84, 135
Q2 2012, 165, 86, 140
Q3 2012, 170, 88, 145
Q4 2012, 175, 85, 150
Q1 2013, 180, 90, 155
Q2 2013, 185, 92, 160
Q3 2013, 190, 94, 165
Q4 2013, 195, 91, 170
Q1 2014, 200, 93, 175
Q2 2014, 205, 95, 180
Q3 2014, 210, 97, 185
Q4 2014, 215, 99, 190
Q1 2015, 220, 100, 195
Q2 2015, 225, 105, 205
Q3 2015, 230, 110, 210
Q4 2015, 235, 115, 215
Q1 2016, 240, 120, 220
Q2 2016, 245, 125, 230
Q3 2016, 250, 130, 240
Q4 2016, 255, 125, 250
Q1 2017, 260, 128, 260
Q2 2017, 265, 132, 270
Q3 2017, 270, 135, 280
Q4 2017, 275, 140, 290
Q1 2018, 280, 145, 300
Q2 2018, 285, 150, 310
Q3 2018, 290, 155, 320
Q4 2018, 295, 160, 330
Q1 2019, 300, 165, 340
Q2 2019, 305, 170, 350
Q3 2019, 310, 175, 360
Q4 2019, 315, 180, 370
Q1 2020, 320, 185, 380
Q2 2020, 325, 190, 390
Q3 2020, 330, 195, 400
Q4 2020, 335, 200, 410
""
