""
Date,Books,Electronics,Clothing
2023-01-01,120,210,150
2023-01-02,130,215,155
2023-01-03,135,220,160
2023-01-04,145,225,165
2023-01-05,155,230,175
2023-01-06,160,240,170
2023-01-07,165,245,180
2023-01-08,175,250,190
2023-01-09,180,255,195
2023-01-10,185,260,200
2023-01-11,190,265,205
2023-01-12,200,270,210
2023-01-13,210,280,220
2023-01-14,220,285,225
2023-01-15,225,290,230
2023-01-16,230,295,240
2023-01-17,235,300,245
2023-01-18,240,310,250
2023-01-19,250,315,255
2023-01-20,255,320,260
2023-01-21,260,330,270
2023-01-22,265,335,275
2023-01-23,270,340,280
2023-01-24,280,345,290
2023-01-25,290,350,300
2023-01-26,295,355,310
2023-01-27,300,360,320
2023-01-28,310,365,330
2023-01-29,320,370,340
2023-01-30,330,375,350
2023-01-31,340,380,360
""
