""
Date,Technology,Arts,Business
Jan-2021,3400,2100,1720
Feb-2021,3220,2092,1900
Mar-2021,3600,2200,2000
Apr-2021,3380,2300,2100
May-2021,3670,2400,2150
Jun-2021,4130,2420,2250
Jul-2021,4400,2500,2330
Aug-2021,4210,2600,2390
Sep-2021,4500,2700,2430
Oct-2021,4700,2750,2500
Nov-2021,4800,2800,2550
Dec-2021,5000,2850,2600
Jan-2022,5100,2900,2650
Feb-2022,5300,2950,2700
Mar-2022,5500,3000,2750
Apr-2022,5700,3050,2800
May-2022,5900,3100,2850
Jun-2022,6050,3150,2900
Jul-2022,6200,3200,2960
Aug-2022,6300,3250,3020
Sep-2022,6400,3300,3080
Oct-2022,6500,3350,3140
Nov-2022,6600,3400,3200
Dec-2022,6700,3450,3250
""
