""
date,Smart Wearables,Home Automation,Self-driving Vehicles
2016-01-01, 320, 120, 60
2016-02-01, 332, 182, 69
2016-03-01, 301, 191, 100
2016-04-01, 334, 290, 130
2016-05-01, 390, 330, 132
2016-06-01, 330, 350, 180
2016-07-01, 320, 370, 210
2016-08-01, 332, 380, 215
2016-09-01, 301, 390, 235
2016-10-01, 334, 420, 256
2016-11-01, 390, 450, 276
2016-12-01, 330, 475, 295
2017-01-01, 320, 452, 320
2017-02-01, 332, 403, 353
2017-03-01, 301, 430, 367
2017-04-01, 334, 470, 380
2017-05-01, 390, 480, 390
2017-06-01, 330, 480, 420
2017-07-01, 320, 530, 445
2017-08-01, 332, 540, 455
2017-09-01, 301, 560, 463
2017-10-01, 334, 580, 480
2017-11-01, 390, 601, 490
2017-12-01, 330, 620, 500
2018-01-01, 320, 630, 510
2018-02-01, 332, 640, 530
2018-03-01, 301, 650, 540
2018-04-01, 334, 660, 550
2018-05-01, 390, 670, 560
2018-06-01, 330, 680, 570
2018-07-01, 320, 690, 580
2018-08-01, 332, 700, 590
2018-09-01, 301, 710, 600
2018-10-01, 334, 720, 610
2018-11-01, 390, 730, 620
2018-12-01, 330, 740, 630
""
