""
Date,High Technology,Consumer Electronics,Pharmaceuticals
2010-01,12000,8000,3000
2010-02,13000,8200,4200
2010-03,15000,8400,2700
2010-04,14000,8500,3400
2010-05,14500,8700,3600
2010-06,15500,9000,3900
2010-07,14800,9300,4200
2010-08,15500,9500,4400
2010-09,16000,9700,4800
2010-10,16500,9800,5100
2010-11,16800,9900,5400
2010-12,17000,10000,5700
2011-01,17200,10100,6000
2011-02,17600,10220,6300
2011-03,17800,10250,6600
2011-04,18000,10300,6700
2011-05,18200,10400,6800
2011-06,18500,10550,6900
2011-07,18800,10600,7000
2011-08,19100,10750,7200
2011-09,19400,10800,7300
2011-10,19600,10850,7400
2011-11,19800,10900,7500
2011-12,20000,11000,7600
2012-01,20300,11100,7700
2012-02,20500,11200,7800
2012-03,20700,11350,7900
2012-04,20900,11400,8000
2012-05,21000,11500,8100
2012-06,21200,11600,8200
""
