""
Year,Books,Music Albums,Art Pieces
2001,15432,23345,12312
2002,15823,24301,14623
2003,16205,25012,15045
2004,17432,26034,16429
2005,18012,27056,17348
2006,19023,27923,18123
2007,19823,28954,19543
2008,20401,29841,20123
2009,21567,30598,21456
2010,22345,31045,22678
2011,22987,31567,23789
2012,23456,32234,24987
2013,24234,33023,25970
2014,25123,33898,27123
2015,25789,34678,28198
2016,26345,35023,29456
2017,27012,35567,30598
2018,27654,36098,31673
2019,28123,36500,32489
2020,28987,36823,33456
2021,29456,37234,34567
2022,29987,37678,35678
""
