""
date,fashion,technology,entertainment
2020-01,300,256,450
2020-02,320,269,480
2020-03,330,272,470
2020-04,340,285,520
2020-05,360,277,610
2020-06,370,300,710
2020-07,380,310,680
2020-08,390,320,640
2020-09,420,330,600
2020-10,430,340,630
2020-11,440,345,650
2020-12,450,355,670
2021-01,470,365,690
2021-02,480,370,710
2021-03,500,375,730
2021-04,520,380,750
2021-05,530,390,770
2021-06,540,400,780
2021-07,550,410,790
2021-08,560,420,800
2021-09,580,430,810
2021-10,590,440,820
2021-11,610,450,830
2021-12,620,460,850
""
