""
Quarter, Technology, Healthcare, Energy, Consumer Goods
Q1-2019, 12000, 15000, 13000, 11000
Q1-2019, 12200, 15500, 13500, 11200
Q1-2019, 12400, 15700, 13800, 11400
Q1-2019, 12600, 16000, 14300, 11500
Q2-2019, 12900, 16200, 14700, 11800
Q2-2019, 13300, 16500, 15000, 12000
Q2-2019, 13600, 16700, 15300, 12300
Q2-2019, 14000, 16900, 15700, 12600
Q3-2019, 14400, 17200, 16000, 12900
Q3-2019, 14700, 17400, 16500, 13200
Q3-2019, 15000, 17700, 16800, 13400
Q3-2019, 15200, 18000, 17200, 13700
Q4-2019, 15500, 18200, 17500, 14000
Q4-2019, 15800, 18500, 17800, 14300
Q4-2019, 16000, 18800, 18200, 14600
Q4-2019, 16300, 19000, 18500, 14900
""
