""
Date,Indoor Activities,Outdoor Activities,Travel,Learning,Sports
2021-01-01,120,80,60,100,40
2021-02-01,135,82,70,110,50
2021-03-01,160,95,80,120,60
2021-04-01,165,100,85,130,70
2021-05-01,170,105,90,140,80
2021-06-01,175,110,100,150,90
2021-07-01,180,115,110,160,100
2021-08-01,200,130,120,170,110
2021-09-01,190,140,130,180,120
2021-10-01,210,150,140,190,130
2021-11-01,190,145,135,185,125
2021-12-01,180,140,130,180,120
2022-01-01,230,155,150,195,135
2022-02-01,220,150,145,190,130
2022-03-01,210,145,140,185,125
2022-04-01,205,140,135,180,120
2022-05-01,200,135,130,175,115
2022-06-01,195,130,125,170,110
2022-07-01,190,125,120,165,105
2022-08-01,220,160,155,200,145
2022-09-01,210,155,150,195,140
2022-10-01,230,165,160,205,150
2022-11-01,220,160,155,200,145
2022-12-01,215,155,150,195,140
""
