""
Date,Electric Cars,Hybrid Vehicles,Diesel Vehicles
2020-01-01,120,150,300
2020-02-01,125,155,290
2020-03-01,130,160,280
2020-04-01,140,165,270
2020-05-01,150,170,260
2020-06-01,155,175,250
2020-07-01,160,180,240
2020-08-01,165,185,230
2020-09-01,170,190,220
2020-10-01,180,195,210
2020-11-01,190,200,200
2020-12-01,200,205,190
2021-01-01,210,215,180
2021-02-01,220,225,175
2021-03-01,230,230,170
2021-04-01,240,235,165
2021-05-01,250,240,160
2021-06-01,260,245,155
2021-07-01,270,250,150
2021-08-01,280,255,145
2021-09-01,290,260,140
2021-10-01,300,265,135
2021-11-01,310,270,130
2021-12-01,320,275,125
2022-01-01,330,280,120
2022-02-01,340,285,115
2022-03-01,350,290,110
2022-04-01,360,295,105
2022-05-01,370,300,100
2022-06-01,380,305,95
2022-07-01,390,310,90
2022-08-01,400,320,85
2022-09-01,410,330,80
2022-10-01,420,340,75
2022-11-01,430,350,70
2022-12-01,440,360,70
""
