""
Date,E-Commerce Sales,In-Store Sales,Wholesale Sales
2021-01,12000,9000,5000
2021-02,11500,9500,5500
2021-03,13000,8500,6000
2021-04,14000,9500,6500
2021-05,15000,10000,7000
2021-06,16000,11000,7500
2021-07,15500,10500,7700
2021-08,16500,12000,7800
2021-09,17000,13000,7500
2021-10,18000,12000,7400
2021-11,19000,12500,7300
2021-12,20000,13000,7200
2022-01,19500,13500,7100
2022-02,20500,14000,7300
2022-03,21000,14500,7600
2022-04,22000,15000,7800
2022-05,23000,15500,7900
2022-06,24000,16000,8100
2022-07,25000,16500,8200
2022-08,24500,17000,8300
2022-09,25500,17500,8400
2022-10,26500,18000,8500
2022-11,26000,18500,8600
2022-12,27000,19000,8700
""
