""
Date,Desktop Traffic,Mobile Traffic,Tablet Traffic
2023-01-01,120,80,40
2023-01-02,115,82,45
2023-01-03,125,90,42
2023-01-04,140,85,55
2023-01-05,130,95,50
2023-01-06,135,100,48
2023-01-07,145,105,51
2023-01-08,150,110,54
2023-01-09,155,115,52
2023-01-10,140,120,60
...
2023-12-22,225,240,190
2023-12-23,230,235,195
2023-12-24,220,230,185
2023-12-25,210,220,180
2023-12-26,215,225,182
2023-12-27,220,230,190
2023-12-28,225,235,185
2023-12-29,230,240,190
2023-12-30,235,245,195
2023-12-31,240,250,200
""
