""
Year,Energy,Industrial Processes,Agriculture,Waste
1990,14,3,7,2
1991,14.5,3.5,7.2,2.1
1992,14.8,3.6,7.4,2.2
1993,15.2,3.9,7.6,2.3
1994,15.4,4,7.8,2.4
1995,16,4.2,8,2.5
1996,16.5,4.4,8.3,2.6
1997,17,4.5,8.5,2.8
1998,17.5,4.7,8.7,2.9
1999,18,5,9,3
2000,18.5,5.2,9.3,3.2
2001,19,5.5,9.6,3.3
2002,19.5,5.7,9.8,3.4
2003,20,6,10,3.5
2004,20.5,6.3,10.3,3.6
2005,21,6.5,10.5,3.8
2006,21.5,6.7,10.7,4
2007,22,7,11,4.2
2008,22.3,7.2,11.2,4.3
2009,22.5,7.5,11.5,4.5
2010,23,7.7,11.7,4.6
2011,23.5,8,12,4.8
2012,23.3,8.2,12.3,5
2013,23.7,8.5,12.5,5.2
2014,24,8.7,12.7,5.3
2015,24.3,9,13,5.5
2016,24.5,9.2,13.2,5.6
2017,24.8,9.5,13.5,5.8
2018,25,9.7,13.7,6
2019,25.2,10,14,6.2
""
