""
date,Low_Income,Middle_Income,High_Income
2021-01-01,10000,20000,30000
2021-01-02,12000,22000,34000
2021-01-03,14000,23000,36000
2021-01-04,17000,24000,35000
2021-01-05,18000,26000,34000
2021-01-06,20000,25000,33000
2021-01-07,18000,26000,32000
2021-01-08,16000,27000,31000
2021-01-09,14000,28000,32000
2021-01-10,15000,29000,33000
2021-01-11,16000,31000,35000
2021-01-12,17000,32000,33000
2021-01-13,18000,33000,32000
2021-01-14,19000,31000,31000
2021-01-15,20000,30000,30000
2021-01-16,19000,29000,32000
2021-01-17,18000,28000,34000
2021-01-18,17000,27000,35000
2021-01-19,16000,26000,37000
2021-01-20,17000,25000,36000
2021-01-21,18000,26000,35000
2021-01-22,20000,27000,34000
2021-01-23,22000,28000,33000
2021-01-24,23000,29000,32000
2021-01-25,24000,31000,31000
2021-01-26,26000,32000,30000
2021-01-27,25000,32000,29000
2021-01-28,24000,31000,28000
2021-01-29,26000,30000,27000
2021-01-30,27000,29000,26000
2021-01-31,28000,32000,25000
""
