markdown
date,Online Courses,Books,E-learning Platforms
2021-01-01,120,80,100
2021-01-02,125,85,110
2021-01-03,130,88,115
2021-01-04,128,86,120
2021-01-05,135,90,130
2021-01-06,140,95,135
2021-01-07,145,100,138
2021-01-08,150,105,140
2021-01-09,155,108,145
2021-01-10,152,106,148
2021-01-11,158,110,150
2021-01-12,162,115,155
2021-01-13,165,118,158
2021-01-14,170,120,160
2021-01-15,168,119,162
2021-01-16,172,121,165
2021-01-17,175,123,170
2021-01-18,180,125,175
2021-01-19,185,130,180
2021-01-20,182,128,185
2021-01-21,188,132,190
2021-01-22,193,135,195
2021-01-23,200,140,200
2021-01-24,205,145,205
2021-01-25,202,142,210
2021-01-26,210,150,215
2021-01-27,220,155,220
2021-01-28,225,160,225
2021-01-29,230,165,230
2021-01-30,235,170,235
2021-01-31,240,175,240
2021-02-01,245,180,245
2021-02-02,250,185,250
2021-02-03,255,190,255
2021-02-04,260,195,260
2021-02-05,265,200,265
2021-02-06,270,205,270
2021-02-07,275,210,275
2021-02-08,280,215,280
2021-02-09,285,220,285
2021-02-10,290,225,290
""
