""
Date,Gaming,Education,Healthcare
2021-01,120,80,40
2021-02,130,85,50
2021-03,150,90,55
2021-04,140,95,60
2021-05,155,100,65
2021-06,160,110,70
2021-07,165,120,75
2021-08,170,130,80
2021-09,175,125,85
2021-10,180,135,90
2021-11,185,140,95
2021-12,190,145,100
2022-01,200,150,110
2022-02,210,160,120
2022-03,220,165,130
2022-04,230,170,140
2022-05,240,175,150
2022-06,250,180,160
2022-07,260,185,170
2022-08,265,190,180
2022-09,270,195,190
2022-10,275,200,200
2022-11,280,205,210
2022-12,290,210,220
""
