""
date,series1,series2,series3
2021-01-01,120,80,50
2021-01-02,200,90,70
2021-01-03,150,95,65
2021-01-04,175,100,80
2021-01-05,142,110,75
2021-01-06,230,105,85
2021-01-07,210,120,95
2021-01-08,215,125,100
2021-01-09,185,130,105
2021-01-10,220,135,110
2021-01-11,240,140,95
2021-01-12,245,145,100
2021-01-13,255,150,105
2021-01-14,260,150,110
2021-01-15,270,155,115
2021-01-16,265,160,120
2021-01-17,280,165,125
2021-01-18,285,170,130
2021-01-19,290,175,135
2021-01-20,295,180,145
2021-01-21,300,185,150
2021-01-22,305,190,155
2021-01-23,310,195,160
2021-01-24,315,200,165
2021-01-25,320,205,170
2021-01-26,330,210,180
2021-01-27,340,220,190
2021-01-28,350,230,200
2021-01-29,360,240,210
2021-01-30,370,250,220
2021-01-31,380,255,225
2021-02-01,390,260,230
2021-02-02,400,265,235
2021-02-03,410,270,240
2021-02-04,420,275,245
2021-02-05,430,280,250
2021-02-06,440,285,255
2021-02-07,450,290,260
2021-02-08,455,295,265
2021-02-09,460,300,270
2021-02-10,465,305,275
""
