""
Date,Mobile Apps,PC Games,Console Games
2023-01-01,1200,800,700
2023-01-02,1150,820,710
2023-01-03,1220,830,720
2023-01-04,1290,880,730
2023-01-05,1250,860,740
2023-01-06,1310,890,750
2023-01-07,1280,920,760
2023-01-08,1360,950,770
2023-01-09,1380,970,780
2023-01-10,1410,980,790
2023-01-11,1450,990,810
2023-01-12,1420,1020,820
2023-01-13,1480,1040,830
2023-01-14,1510,1050,840
2023-01-15,1550,1070,850
2023-01-16,1520,1080,860
2023-01-17,1570,1100,870
2023-01-18,1610,1120,880
2023-01-19,1650,1150,890
2023-01-20,1680,1180,900
""
