""
Year,Desktop,Laptop,Tablet,Smartphone,Wearables
2015 Q1,12000,14000,7000,13000,1500
2015 Q2,15000,16000,8000,14000,1700
2015 Q3,14000,17000,9000,15500,2000
2015 Q4,13000,18000,10000,16500,2300
2016 Q1,12500,19000,11000,17500,2600
2016 Q2,14500,20000,12000,18500,2900
2016 Q3,16000,21000,13000,19000,3200
2016 Q4,17000,22000,14000,20000,3500
2017 Q1,18000,23000,15000,21500,3700
2017 Q2,18500,24000,16000,22500,3900
2017 Q3,19000,25000,17000,23000,4100
2017 Q4,20000,26500,18000,24000,4300
2018 Q1,20500,27500,19000,25000,4500
2018 Q2,21000,28000,20000,26000,4700
2018 Q3,22000,29000,21000,27000,4900
2018 Q4,23000,29500,22000,28000,5100
""
