""
Date,Mobile Devices,Computers,Other Electronics
2020-01,120,80,30
2020-02,130,90,35
2020-03,125,95,40
2020-04,140,100,45
2020-05,150,105,50
2020-06,155,110,55
2020-07,160,115,60
2020-08,165,120,65
2020-09,170,125,70
2020-10,180,130,75
2020-11,175,135,80
2020-12,185,140,85
2021-01,190,145,90
2021-02,195,150,95
2021-03,200,160,100
2021-04,210,170,105
2021-05,220,175,110
2021-06,230,180,115
2021-07,235,185,120
2021-08,240,190,125
2021-09,245,195,130
2021-10,250,200,135
2021-11,260,205,140
2021-12,270,210,145
""
