""
Date,Electric Cars,Hybrid Vehicles,Gasoline Vehicles
2020-01,1200,950,1500
2020-02,1500,1000,1400
2020-03,1600,1100,1350
2020-04,1650,1200,1300
2020-05,1700,1300,1250
2020-06,1750,1350,1200
2020-07,1800,1400,1150
2020-08,1850,1450,1100
2020-09,1900,1500,1050
2020-10,1950,1600,1000
2020-11,2000,1650,950
2020-12,2200,1700,900
2021-01,2300,1750,850
2021-02,2400,1800,800
2021-03,2500,1850,750
2021-04,2600,1900,700
2021-05,2700,1950,650
2021-06,2800,2000,600
2021-07,2900,2100,550
2021-08,3000,2200,500
2021-09,3100,2300,450
2021-10,3200,2400,400
2021-11,3300,2450,350
2021-12,3400,2500,300
""
