 
Date,Running,Cycling,Swimming
2023-01-01,100,80,200
2023-01-02,120,60,180
2023-01-03,140,75,190
2023-01-04,130,90,220
2023-01-05,150,100,210
2023-01-06,160,110,230
2023-01-07,170,95,240
2023-01-08,180,105,250
2023-01-09,200,115,260
2023-01-10,190,120,270
2023-01-11,210,130,280
2023-01-12,220,140,290
2023-01-13,230,150,300
2023-01-14,240,160,310
2023-01-15,250,170,320
2023-01-16,240,165,330
2023-01-17,230,155,340
2023-01-18,220,145,350
2023-01-19,210,135,360
2023-01-20,205,125,370
2023-01-21,215,135,380
2023-01-22,225,145,390
2023-01-23,235,155,400
2023-01-24,245,165,410
2023-01-25,255,175,420
2023-01-26,250,180,430
2023-01-27,245,185,440
2023-01-28,235,175,450
2023-01-29,230,165,460
2023-01-30,225,155,470
2023-01-31,220,150,480
""
