""
Date,Education & Learning,Entertainment & Leisure,Science & Nature,Health & Psychology
2023-01-01,1200,800,900,300
2023-01-02,1150,850,950,350
2023-01-03,1250,870,990,330
2023-01-04,1300,950,910,370
2023-01-05,1350,980,930,390
2023-01-06,1280,940,920,380
2023-01-07,1220,910,950,370
2023-01-08,1250,950,970,365
2023-01-09,1260,970,960,355
2023-01-10,1290,990,940,345
2023-01-11,1320,1010,930,350
2023-01-12,1340,1030,960,340
2023-01-13,1290,1050,950,360
2023-01-14,1360,1020,970,375
2023-01-15,1385,1050,980,390
2023-01-16,1355,1070,975,385
2023-01-17,1325,1060,970,380
2023-01-18,1370,1080,965,375
2023-01-19,1410,1095,960,370
2023-01-20,1450,1100,970,365
""
