""
Year,Electric Vehicles,Solar Power,Wind Energy,Hydropower
2001,120,80,150,200
2002,150,90,180,220
2003,180,110,210,240
2004,210,140,240,260
2005,250,170,270,280
2006,290,200,300,300
2007,330,230,330,320
2008,370,270,360,340
2009,410,320,390,360
2010,450,370,420,380
2011,500,420,450,400
2012,550,470,480,420
2013,600,530,510,440
2014,650,590,540,460
2015,700,650,570,480
2016,750,710,600,500
2017,800,770,630,520
2018,850,830,660,540
2019,900,890,690,560
2020,950,950,720,580
2021,1000,1010,750,600
2022,1050,1070,780,620
""
