""
Date,E-commerce Sales,Retail Sales,Direct Sales
2021-01,10000,8000,6000
2021-02,11000,8400,6100
2021-03,12000,8600,6200
2021-04,11500,8800,6300
2021-05,12500,8500,6400
2021-06,13000,8700,6500
2021-07,14000,9000,6600
2021-08,14500,9300,6700
2021-09,15000,9500,6800
2021-10,15500,9700,6900
2021-11,16000,9800,7000
2021-12,16500,9900,7100
2022-01,17000,10000,7200
2022-02,17500,10200,7300
2022-03,18000,10300,7400
2022-04,18500,10400,7500
2022-05,19000,10500,7600
2022-06,19500,10600,7700
2022-07,20000,10700,7800
2022-08,20500,10800,7900
2022-09,21000,10900,8000
2022-10,21500,11000,8100
2022-11,22000,11100,8200
2022-12,22500,11200,8300
""
