""
date,Technology,Automotive,Healthcare,Retail,Energy
2010-01,200,160,120,100,80
2010-02,210,165,123,105,83
2010-03,215,168,125,103,85
2010-04,220,170,130,110,87
2010-05,225,172,135,115,90
2010-06,230,180,140,120,95
2010-07,240,185,145,125,100
2010-08,250,190,150,130,105
2010-09,245,185,155,135,110
2010-10,255,195,160,140,115
2010-11,260,200,165,145,120
2010-12,270,205,170,150,125
2011-01,275,210,175,155,130
2011-02,280,215,180,160,135
2011-03,285,220,185,165,140
2011-04,290,225,190,170,145
2011-05,295,230,195,175,150
2011-06,300,235,200,180,155
2011-07,305,240,205,185,160
2011-08,310,245,210,190,165
2011-09,315,250,215,195,170
2011-10,320,255,220,200,175
2011-11,330,260,225,205,180
2011-12,340,265,230,210,185
""
