""
Date,Organic Traffic,Email Marketing,Social Media,Direct Traffic
2021-01-01,1200,300,450,700
2021-01-02,1180,310,460,710
2021-01-03,1150,320,470,720
2021-01-04,1200,330,480,730
2021-01-05,1250,340,490,740
2021-01-06,1300,350,500,750
2021-01-07,1380,360,510,760
2021-01-08,1450,370,520,770
2021-01-09,1500,380,530,780
2021-01-10,1550,390,540,790
2021-01-11,1600,400,550,800
2021-01-12,1620,410,560,810
2021-01-13,1640,420,570,820
2021-01-14,1660,430,580,830
2021-01-15,1690,440,590,840
2021-01-16,1710,450,600,850
2021-01-17,1720,460,610,860
2021-01-18,1740,470,620,870
2021-01-19,1750,480,630,880
2021-01-20,1770,490,640,890
2021-01-21,1800,500,650,900
2021-01-22,1820,510,660,910
2021-01-23,1850,520,670,920
2021-01-24,1890,530,680,930
2021-01-25,1900,540,690,940
2021-01-26,1950,550,700,950
2021-01-27,2000,560,710,960
2021-01-28,2050,570,720,970
2021-01-29,2100,580,730,980
2021-01-30,2120,590,740,990
2021-01-31,2150,600,750,1000
""
