""
Month,Pop,Rock,Electronic,Hip-Hop,Classical
Jan-2021,12000,15000,8000,10000,5000
Feb-2021,10000,16000,8500,11000,5200
Mar-2021,9800,16500,8700,15000,5300
Apr-2021,11500,14000,9000,14000,4900
May-2021,12000,13000,9500,13500,4500
Jun-2021,12500,12000,10000,13000,4600
Jul-2021,13000,11000,10500,12000,4700
Aug-2021,13500,11500,11000,12500,4800
Sep-2021,14000,12000,11500,14500,4850
Oct-2021,14500,12500,12000,15500,4800
Nov-2021,15000,13000,12500,16000,4750
Dec-2021,15500,13500,13000,16500,4700
Jan-2022,16000,14000,13500,17000,4650
Feb-2022,16500,14500,14000,17500,4600
Mar-2022,17000,15000,14500,18000,4550
Apr-2022,17500,15500,15000,18500,4500
May-2022,18000,16000,15500,19000,4450
Jun-2022,18500,16500,16000,19500,4400
Jul-2022,19000,17000,16500,20000,4350
Aug-2022,19500,17500,17000,20500,4300
Sep-2022,20000,18000,17500,21000,4250
Oct-2022,18000,18500,18000,21500,4200
Nov-2022,16000,19000,18500,22000,4150
Dec-2022,14000,19500,19000,22500,4100
""
