""
Date,Outdoor Activities,Indoor Entertainment,Online Streaming,Reading & Learning
2020-01-01,80,50,70,60
2020-01-02,78,55,75,62
2020-01-03,82,53,76,59
2020-01-04,77,54,79,63
2020-01-05,79,56,80,65
2020-01-06,83,52,85,62
2020-01-07,81,57,82,61
2020-01-08,80,58,83,64
2020-01-09,85,53,86,60
2020-01-10,87,55,84,67
2020-01-11,90,50,87,69
2020-01-12,88,59,81,70
2020-01-13,92,52,89,75
2020-01-14,91,56,92,76
2020-01-15,93,60,90,74
2020-01-16,97,58,95,73
2020-01-17,99,57,93,78
2020-01-18,95,61,94,80
2020-01-19,94,63,96,82
2020-01-20,96,60,97,79
""
