""
Date,Electric Vehicles,Solar Energy,Wind Energy
2020-01,120,80,40
2020-02,130,88,45
2020-03,135,92,47
2020-04,140,96,50
2020-05,150,104,55
2020-06,160,110,60
2020-07,165,115,62
2020-08,170,120,65
2020-09,175,125,68
2020-10,180,130,70
2020-11,190,138,74
2020-12,200,140,75
2021-01,210,145,77
2021-02,220,150,80
2021-03,225,155,82
2021-04,230,160,85
2021-05,240,165,87
2021-06,250,170,90
2021-07,260,172,92
2021-08,265,175,95
2021-09,270,180,97
2021-10,275,185,100
2021-11,285,190,103
2021-12,295,195,105
""
