""
Year,Natural Gas,Wind,Solar,Nuclear,Hydropower
2000,20,2,0.5,15,13
2001,20,2.5,0.7,15,12.8
2002,21,3,0.9,14.5,12.6
2003,22,4,1.2,14,12.4
2004,23,5,1.5,13.5,12.0
2005,24,6,1.8,13.1,12.2
2006,24.5,7,2.2,13.2,12.1
2007,25,8,2.6,13,12
2008,26,9,3.2,12.5,11.6
2009,25.5,10,3.7,11.9,11.5
2010,25,11,4.2,12.3,11.2
2011,26,12,4.6,11.5,11
2012,27,13,5.1,11,10.5
2013,28,14,5.8,10.8,10.3
2014,29,15,6.3,10.7,10.1
2015,28,16,7,10.5,10
2016,28.5,17,8,10,9.9
2017,28,18,9,9.8,9.7
2018,29,19,10,9.7,9.5
2019,30,20,11,9.6,9.3
2020,30.5,21,12,9.2,9
""
