markdown
Date,Sales,New Customers,Returning Customers
Jan-2021,12000,200,300
Feb-2021,13500,220,350
Mar-2021,15000,250,320
Apr-2021,16000,270,370
May-2021,15500,260,400
Jun-2021,17000,300,450
Jul-2021,18000,320,420
Aug-2021,18500,310,480
Sep-2021,19000,330,470
Oct-2021,20000,340,510
Nov-2021,21000,360,530
Dec-2021,22000,380,550
Jan-2022,23000,390,560
Feb-2022,24000,410,520
Mar-2022,25000,420,580
Apr-2022,26000,430,590
May-2022,25500,425,600
Jun-2022,26500,440,610
Jul-2022,27000,450,620
Aug-2022,28000,460,630
Sep-2022,29000,470,640
Oct-2022,30000,480,650
Nov-2022,31000,490,660
Dec-2022,32000,500,670
""
