""
Date,Online Courses,Traditional Courses,Self-Learning,Study Groups
2021-01,800,600,300,200
2021-02,820,610,330,230
2021-03,860,640,320,240
2021-04,880,680,350,260
2021-05,850,700,355,280
2021-06,870,720,370,290
2021-07,900,750,380,300
2021-08,920,780,395,320
2021-09,950,800,400,330
2021-10,970,820,410,340
2021-11,990,830,420,350
2021-12,1010,850,430,360
2022-01,1030,870,440,370
2022-02,1050,890,450,380
2022-03,1080,910,465,390
2022-04,1100,930,475,400
2022-05,1120,950,485,410
2022-06,1150,970,495,420
2022-07,1170,980,500,430
2022-08,1180,990,510,440
2022-09,1200,1000,520,450
2022-10,1220,1010,530,460
2022-11,1230,1030,540,470
2022-12,1250,1050,550,480
""
