""
Category,Education,Sports,Entertainment,Year
Primary,320,302,301,2000
Primary,330,348,325,2001
Primary,354,366,345,2002
Primary,378,410,365,2003
Primary,392,432,385,2004
Primary,403,448,398,2005
Secondary,120,182,191,2000
Secondary,132,198,210,2001
Secondary,141,216,220,2002
Secondary,165,230,230,2003
Secondary,172,240,235,2004
Secondary,180,250,240,2005
Tertiary,150,162,160,2000
Tertiary,155,172,170,2001
Tertiary,165,182,175,2002
Tertiary,175,193,180,2003
Tertiary,185,204,190,2004
Tertiary,193,210,200,2005
""
