""
Year,Pop,Rock,Jazz,Electronic,Hip Hop
2000,120,200,80,50,150
2001,125,180,85,55,165
2002,130,160,75,60,175
2003,135,165,70,70,190
2004,145,170,65,85,205
2005,150,180,60,95,225
2006,155,175,55,110,210
2007,160,170,50,120,220
2008,170,160,45,130,230
2009,175,150,40,145,240
2010,185,155,35,155,250
2011,190,145,30,165,265
2012,200,140,25,180,280
2013,210,130,20,190,290
2014,220,125,15,200,300
2015,230,120,10,210,310
2016,240,115,5,225,320
2017,250,110,0,235,330
2018,260,105,0,245,340
2019,270,100,0,260,350
2020,280,95,0,275,360
""
