""
Date,Video Games,Books,Movies,Music
2023-01-01,1200,400,800,500
2023-01-02,1180,420,790,510
2023-01-03,1250,460,810,530
2023-01-04,1300,480,840,550
2023-01-05,1350,500,880,570
2023-01-06,1400,520,890,590
2023-01-07,1450,540,860,610
2023-01-08,1480,560,850,630
2023-01-09,1550,590,870,640
2023-01-10,1600,610,900,660
2023-01-11,1620,620,910,670
2023-01-12,1650,630,920,680
2023-01-13,1670,640,930,690
2023-01-14,1700,650,940,700
2023-01-15,1720,660,950,710
2023-01-16,1750,670,960,720
2023-01-17,1760,680,970,730
2023-01-18,1750,690,980,740
2023-01-19,1780,700,990,750
2023-01-20,1800,710,1000,760
""
