""
Date,Economic Growth,Technology Development,Environmental Protection
2020-01,1200,500,550
2020-02,1180,520,580
2020-03,1250,510,570
2020-04,1150,530,590
2020-05,1300,540,600
2020-06,1250,560,630
2020-07,1270,570,610
2020-08,1230,580,620
2020-09,1295,610,640
2020-10,1340,600,650
2020-11,1350,620,660
2020-12,1400,630,670
2021-01,1420,640,680
2021-02,1450,650,690
2021-03,1480,660,700
2021-04,1500,670,710
2021-05,1520,680,720
2021-06,1540,690,730
2021-07,1550,700,740
2021-08,1560,710,750
2021-09,1575,720,760
2021-10,1590,730,770
2021-11,1600,740,780
2021-12,1620,750,790
""
