""
date,Investments,Savings,Expenses
2020-01,20000,5000,3000
2020-02,22000,5500,3200
2020-03,21000,5400,3100
2020-04,23000,5800,3300
2020-05,20000,5500,3400
2020-06,24000,5600,3500
2020-07,25000,5700,3600
2020-08,26000,5800,3700
2020-09,27000,5900,3800
2020-10,28000,6000,3900
2020-11,29000,6100,4000
2020-12,30000,6200,4100
2021-01,31000,6300,4200
2021-02,32000,6400,4300
2021-03,33000,6500,4400
2021-04,34000,6600,4500
2021-05,35000,6700,4600
2021-06,36000,6800,4700
2021-07,37000,6900,4800
2021-08,38000,7000,4900
""
