""
Day,Online Courses,eBooks,Video Tutorials,Interactive Games
1,120,80,50,30
2,115,85,55,35
3,130,90,60,40
4,135,95,65,45
5,140,100,70,50
6,145,105,75,55
7,150,110,80,60
8,160,115,85,65
9,155,120,90,70
10,165,125,95,75
11,170,130,100,80
12,180,135,105,85
13,185,140,110,90
14,190,145,115,95
15,200,150,120,100
16,195,155,125,105
17,210,160,130,110
18,220,165,135,115
19,225,170,140,120
20,230,175,145,125
21,235,180,150,130
22,240,185,155,135
23,245,190,160,140
24,250,195,165,145
25,255,200,170,150
26,265,205,175,155
27,270,210,180,160
28,275,215,185,165
29,280,220,190,170
30,285,225,195,175
""
