""
Date,Educational Software,Online Courses,Interactive Learning Tools,Multimedia Content
2020-01-01,1200,300,600,900
2020-01-02,1180,310,610,920
2020-01-03,1150,320,630,910
2020-01-04,1130,330,640,950
2020-01-05,1150,340,650,980
2020-01-06,1170,350,660,960
2020-01-07,1200,355,675,930
2020-01-08,1210,360,680,950
2020-01-09,1230,365,690,970
2020-01-10,1245,370,700,990
2020-01-11,1260,380,720,1010
2020-01-12,1270,390,730,1050
2020-01-13,1280,400,740,1030
2020-01-14,1295,410,750,1060
2020-01-15,1300,420,760,1080
2020-01-16,1310,430,770,1050
2020-01-17,1335,440,780,1020
2020-01-18,1320,445,790,1030
2020-01-19,1300,450,800,1040
2020-01-20,1310,455,810,1060
2020-01-21,1330,460,820,1070
2020-01-22,1345,465,830,1100
2020-01-23,1360,470,840,1120
2020-01-24,1370,475,850,1110
2020-01-25,1350,480,860,1130
2020-01-26,1330,485,870,1140
2020-01-27,1310,490,880,1150
2020-01-28,1325,495,890,1160
2020-01-29,1340,500,900,1170
2020-01-30,1355,505,910,1180
2020-01-31,1370,510,920,1190
""
