""
date,Coffee Consumption,Tea Consumption,Soda Consumption
2020-01-01,1500,1200,300
2020-01-02,1600,1300,350
2020-01-03,1700,1400,400
2020-01-04,1750,1500,420
2020-01-05,1800,1600,450
2020-01-06,1850,1620,430
2020-01-07,1900,1650,410
2020-01-08,1950,1680,415
2020-01-09,2000,1700,420
2020-01-10,2050,1725,425
2020-01-11,2100,1750,430
2020-01-12,2000,1800,440
2020-01-13,1950,1850,450
2020-01-14,1900,1900,460
2020-01-15,1850,1950,470
2020-01-16,1800,2000,480
2020-01-17,1750,2025,485
2020-01-18,1700,2050,490
2020-01-19,1650,2075,495
2020-01-20,1600,2100,500
""
