""
Year,Solar Energy,Wind Energy,Hydro Energy,Geothermal Energy,Biomass Energy
2001,120,150,220,30,80
2002,135,165,235,35,90
2003,150,180,250,40,100
2004,160,200,270,45,110
2005,175,225,290,50,120
2006,190,245,310,55,130
2007,205,265,330,60,140
2008,220,285,350,65,150
2009,235,300,370,70,160
2010,250,320,390,75,170
2011,270,340,410,80,180
2012,290,360,430,85,190
2013,310,380,450,90,200
2014,330,395,470,95,210
2015,350,410,490,100,220
2016,370,430,510,105,230
2017,390,450,530,110,240
2018,410,470,550,115,250
2019,430,490,570,120,260
2020,450,510,590,125,270
""
