""
date,Online Courses,In-Person Lectures,Webinars
2023-01-01,120,80,60
2023-01-02,110,90,65
2023-01-03,160,70,70
2023-01-04,155,85,75
2023-01-05,170,90,80
2023-01-06,180,95,85
2023-01-07,190,100,90
2023-01-08,200,105,95
2023-01-09,210,110,100
2023-01-10,220,115,105
2023-01-11,230,120,110
2023-01-12,240,125,115
2023-01-13,250,130,120
2023-01-14,260,140,125
2023-01-15,270,150,130
2023-01-16,280,155,135
2023-01-17,290,160,140
2023-01-18,300,165,145
2023-01-19,310,170,150
2023-01-20,320,175,155
2023-01-21,330,180,160
2023-01-22,340,185,165
2023-01-23,350,190,170
2023-01-24,360,195,175
2023-01-25,370,200,180
2023-01-26,380,205,185
2023-01-27,390,210,190
2023-01-28,400,215,195
2023-01-29,410,220,200
2023-01-30,420,225,205
2023-01-31,430,230,210
""
